# year avgLandTemp avgLand&OceanTemp
1850 7.901 14.867
1851 8.179 14.992
1852 8.100 15.007
1853 8.042 14.955
1854 8.210 14.991
1855 8.111 15.021
1856 7.996 14.879
1857 7.758 14.758
1858 8.100 14.882
1859 8.252 14.930
1860 7.961 14.883
1861 7.847 14.801
1862 7.559 14.740
1863 8.112 14.936
1864 7.984 14.896
1865 8.178 14.997
1866 8.292 15.057
1867 8.436 15.059
1868 8.248 15.097
1869 8.432 15.065
1870 8.201 15.004
1871 8.115 15.006
1872 8.194 15.019
1873 8.351 15.049
1874 8.434 14.957
1875 7.860 14.922
1876 8.080 14.909
1877 8.540 15.283
1878 8.830 15.357
1879 8.166 15.064
1880 8.119 15.009
1881 8.271 15.087
1882 8.129 15.057
1883 7.977 14.963
1884 7.774 14.833
1885 7.920 14.854
1886 7.954 14.835
1887 7.915 14.816
1888 8.091 14.994
1889 8.319 15.113
1890 7.972 14.841
1891 8.019 14.944
1892 8.066 14.883
1893 8.057 14.912
1894 8.161 14.915
1895 8.147 14.969
1896 8.215 15.091
1897 8.293 15.075
1898 8.178 14.887
1899 8.396 15.048
1900 8.502 15.144
1901 8.542 15.073
1902 8.304 14.958
1903 8.220 14.837
1904 8.091 14.810
1905 8.225 14.955
1906 8.379 15.032
1907 7.947 14.875
1908 8.186 14.838
1909 8.178 14.790
1910 8.223 14.819
1911 8.177 14.776
1912 8.165 14.877
1913 8.298 14.909
1914 8.591 15.076
1915 8.593 15.144
1916 8.225 14.901
1917 8.023 14.810
1918 8.131 14.960
1919 8.382 15.007
1920 8.359 15.026
1921 8.571 15.102
1922 8.408 15.012
1923 8.422 15.028
1924 8.507 15.039
1925 8.534 15.090
1926 8.729 15.241
1927 8.522 15.122
1928 8.632 15.132
1929 8.242 14.967
1930 8.634 15.172
1931 8.719 15.228
1932 8.705 15.188
1933 8.338 15.013
1934 8.628 15.145
1935 8.516 15.119
1936 8.554 15.166
1937 8.698 15.300
1938 8.864 15.293
1939 8.760 15.302
1940 8.765 15.372
1941 8.769 15.385
1942 8.728 15.325
1943 8.755 15.345
1944 8.845 15.449
1945 8.585 15.331
1946 8.677 15.263
1947 8.797 15.310
1948 8.747 15.261
1949 8.587 15.223
1950 8.365 15.139
1951 8.626 15.311
1952 8.638 15.363
1953 8.874 15.421
1954 8.561 15.231
1955 8.626 15.174
1956 8.280 15.106
1957 8.732 15.374
1958 8.774 15.382
1959 8.733 15.340
1960 8.584 15.292
1961 8.798 15.380
1962 8.746 15.326
1963 8.856 15.377
1964 8.410 15.117
1965 8.527 15.196
1966 8.599 15.265
1967 8.700 15.294
1968 8.516 15.264
1969 8.595 15.390
1970 8.701 15.333
1971 8.599 15.200
1972 8.500 15.293
1973 8.948 15.405
1974 8.467 15.168
1975 8.745 15.239
1976 8.347 15.131
1977 8.850 15.408
1978 8.693 15.301
1979 8.733 15.414
1980 8.980 15.492
1981 9.166 15.516
1982 8.639 15.342
1983 9.028 15.520
1984 8.692 15.344
1985 8.658 15.341
1986 8.834 15.384
1987 8.994 15.525
1988 9.202 15.556
1989 8.922 15.442
1990 9.234 15.629
1991 9.179 15.598
1992 8.837 15.453
1993 8.867 15.466
1994 9.039 15.535
1995 9.347 15.638
1996 9.039 15.525
1997 9.203 15.714
1998 9.523 15.826
1999 9.285 15.600
2000 9.201 15.611
2001 9.415 15.767
2002 9.570 15.829
2003 9.526 15.827
2004 9.325 15.757
2005 9.701 15.879
2006 9.532 15.813
2007 9.732 15.827
2008 9.432 15.721
2009 9.505 15.827
2010 9.703 15.895
2011 9.516 15.770
2012 9.507 15.802
2013 9.607 15.854
2014 9.571 15.913
2015 9.831 16.059
