# year average
1760 7.185
1761 8.772
1762 8.607
1763 7.497
1764 8.400
1765 8.252
1766 8.406
1767 8.222
1768 6.781
1769 7.695
1770 7.692
1771 7.853
1772 8.194
1773 8.222
1774 8.772
1775 9.183
1776 8.304
1777 8.256
1778 8.542
1779 8.983
1780 9.433
1781 8.103
1782 7.901
1783 7.681
1784 7.862
1785 7.363
1786 8.258
1787 8.032
1788 8.447
1789 8.334
1790 7.982
1791 8.234
1792 8.089
1793 8.229
1794 8.526
1795 8.350
1796 8.271
1797 8.511
1798 8.670
1799 8.506
1800 8.484
1801 8.590
1802 8.578
1803 8.503
1804 8.845
1805 8.563
1806 8.434
1807 8.281
1808 7.627
1809 7.076
1810 6.923
1811 6.860
1812 7.046
1813 7.740
1814 7.592
1815 7.239
1816 6.938
1817 6.976
1818 7.829
1819 7.369
1820 7.616
1821 8.090
1822 8.188
1823 7.719
1824 8.547
1825 8.389
1826 8.357
1827 8.809
1828 8.165
1829 7.942
1830 8.517
1831 7.639
1832 7.450
1833 8.013
1834 8.147
1835 7.392
1836 7.696
1837 7.376
1838 7.515
1839 7.632
1840 7.796
1841 7.688
1842 8.023
1843 8.174
1844 7.646
1845 7.851
1846 8.553
1847 8.086
1848 7.980
1849 7.984
1850 7.901
1851 8.179
1852 8.100
1853 8.042
1854 8.210
1855 8.111
1856 7.996
1857 7.758
1858 8.100
1859 8.252
1860 7.961
1861 7.847
1862 7.559
1863 8.112
1864 7.984
1865 8.178
1866 8.292
1867 8.436
1868 8.248
1869 8.432
1870 8.201
1871 8.115
1872 8.194
1873 8.351
1874 8.434
1875 7.860
1876 8.080
1877 8.540
1878 8.830
1879 8.166
1880 8.119
1881 8.271
1882 8.129
1883 7.977
1884 7.774
1885 7.920
1886 7.954
1887 7.915
1888 8.091
1889 8.319
1890 7.972
1891 8.019
1892 8.066
1893 8.057
1894 8.161
1895 8.147
1896 8.215
1897 8.293
1898 8.178
1899 8.396
1900 8.502
1901 8.542
1902 8.304
1903 8.220
1904 8.091
1905 8.225
1906 8.379
1907 7.947
1908 8.186
1909 8.178
1910 8.223
1911 8.177
1912 8.165
1913 8.298
1914 8.591
1915 8.593
1916 8.225
1917 8.023
1918 8.131
1919 8.382
1920 8.359
1921 8.571
1922 8.408
1923 8.422
1924 8.507
1925 8.534
1926 8.729
1927 8.522
1928 8.632
1929 8.242
1930 8.634
1931 8.719
1932 8.705
1933 8.338
1934 8.628
1935 8.516
1936 8.554
1937 8.698
1938 8.864
1939 8.760
1940 8.765
1941 8.769
1942 8.728
1943 8.755
1944 8.845
1945 8.585
1946 8.677
1947 8.797
1948 8.747
1949 8.587
1950 8.365
1951 8.626
1952 8.638
1953 8.874
1954 8.561
1955 8.626
1956 8.280
1957 8.732
1958 8.774
1959 8.733
1960 8.584
1961 8.798
1962 8.746
1963 8.856
1964 8.410
1965 8.527
1966 8.599
1967 8.700
1968 8.516
1969 8.595
1970 8.701
1971 8.599
1972 8.500
1973 8.948
1974 8.467
1975 8.745
1976 8.347
1977 8.850
1978 8.693
1979 8.733
1980 8.980
1981 9.166
1982 8.639
1983 9.028
1984 8.692
1985 8.658
1986 8.834
1987 8.994
1988 9.202
1989 8.922
1990 9.234
1991 9.179
1992 8.837
1993 8.867
1994 9.039
1995 9.347
1996 9.039
1997 9.203
1998 9.523
1999 9.285
2000 9.201
2001 9.415
2002 9.570
2003 9.526
2004 9.325
2005 9.701
2006 9.532
2007 9.732
2008 9.432
2009 9.505
2010 9.703
2011 9.516
2012 9.507
2013 9.607
2014 9.571
2015 9.831
