Year	Average Temperature 19th Century	Average Temperature 20th Century
1	8.590	8.542
2	8.578	8.304
3	8.503	8.220
4	8.845	8.091
5	8.563	8.225
6	8.434	8.379
7	8.281	7.947
8	7.627	8.186
9	7.076	8.178
10	6.923	8.223
11	6.860	8.177
12	7.046	8.165
13	7.740	8.298
14	7.592	8.591
15	7.239	8.593
16	6.938	8.225
17	6.976	8.023
18	7.829	8.131
19	7.369	8.382
20	7.616	8.359
21	8.090	8.571
22	8.188	8.408
23	7.719	8.422
24	8.547	8.507
25	8.389	8.534
26	8.357	8.729
27	8.809	8.522
28	8.165	8.632
29	7.942	8.242
30	8.517	8.634
31	7.639	8.719
32	7.450	8.705
33	8.013	8.338
34	8.147	8.628
35	7.392	8.516
36	7.696	8.554
37	7.376	8.698
38	7.515	8.864
39	7.632	8.760
40	7.796	8.765
41	7.688	8.769
42	8.023	8.728
43	8.174	8.755
44	7.646	8.845
45	7.851	8.585
46	8.553	8.677
47	8.086	8.797
48	7.980	8.747
49	7.984	8.587
50	7.901	8.365
51	8.179	8.626
52	8.100	8.638
53	8.042	8.874
54	8.210	8.561
55	8.111	8.626
56	7.996	8.280
57	7.758	8.732
58	8.100	8.774
59	8.252	8.733
60	7.961	8.584
61	7.847	8.798
62	7.559	8.746
63	8.112	8.856
64	7.984	8.410
65	8.178	8.527
66	8.292	8.599
67	8.436	8.700
68	8.248	8.516
69	8.432	8.595
70	8.201	8.701
71	8.115	8.599
72	8.194	8.500
73	8.351	8.948
74	8.434	8.467
75	7.860	8.745
76	8.080	8.347
77	8.540	8.850
78	8.830	8.693
79	8.166	8.733
80	8.119	8.980
81	8.271	9.166
82	8.129	8.639
83	7.977	9.028
84	7.774	8.692
85	7.920	8.658
86	7.954	8.834
87	7.915	8.994
88	8.091	9.202
89	8.319	8.922
90	7.972	9.234
91	8.019	9.179
92	8.066	8.837
93	8.057	8.867
94	8.161	9.039
95	8.147	9.347
96	8.215	9.039
97	8.293	9.203
98	8.178	9.523
99	8.396	9.285
100	8.502	9.201
