#Year LandAverageTemperature LandMaxTemperature LandMinTemperature
1850 7.901 13.477 1.964
1851 8.179 13.081 2.204
1852 8.100 13.397 2.337
1853 8.042 13.887 1.893
1854 8.210 13.977 1.762
1855 8.111 13.493 1.703
1856 7.996 13.470 1.525
1857 7.758 13.438 1.857
1858 8.100 13.683 2.111
1859 8.252 13.860 2.460
1860 7.961 13.960 2.344
1861 7.847 13.857 2.263
1862 7.559 14.247 2.483
1863 8.112 13.620 2.767
1864 7.984 13.919 2.410
1865 8.178 14.298 2.552
1866 8.292 14.166 2.432
1867 8.436 14.147 2.464
1868 8.248 14.098 2.370
1869 8.432 14.069 2.165
1870 8.201 14.210 2.425
1871 8.115 13.984 2.158
1872 8.194 14.285 2.187
1873 8.351 14.010 1.904
1874 8.434 13.883 2.062
1875 7.860 14.008 1.614
1876 8.080 13.935 2.135
1877 8.540 14.430 2.649
1878 8.830 14.742 2.982
1879 8.166 14.066 2.079
1880 8.119 13.913 2.054
1881 8.271 14.050 2.426
1882 8.129 14.114 2.273
1883 7.977 13.962 1.880
1884 7.774 13.692 1.648
1885 7.920 13.912 1.874
1886 7.954 13.947 1.971
1887 7.915 13.890 1.907
1888 8.091 13.909 1.954
1889 8.319 14.294 2.348
1890 7.972 13.929 1.851
1891 8.019 14.033 1.905
1892 8.066 13.971 1.982
1893 8.057 13.937 1.907
1894 8.161 14.041 2.124
1895 8.147 14.078 2.076
1896 8.215 14.108 2.115
1897 8.293 14.187 2.294
1898 8.178 14.232 2.153
1899 8.396 14.332 2.430
1900 8.502 14.390 2.576
1901 8.542 14.512 2.490
1902 8.304 14.364 2.204
1903 8.220 14.086 2.283
1904 8.091 14.064 2.171
1905 8.225 14.082 2.343
1906 8.379 14.244 2.486
1907 7.947 13.808 2.003
1908 8.186 14.039 2.175
1909 8.178 14.027 2.158
1910 8.223 14.097 2.158
1911 8.177 13.988 2.250
1912 8.165 14.053 2.201
1913 8.298 14.202 2.319
1914 8.591 14.315 2.687
1915 8.593 14.474 2.644
1916 8.225 14.097 2.262
1917 8.023 13.926 2.020
1918 8.131 13.961 2.186
1919 8.382 14.156 2.451
1920 8.359 14.143 2.446
1921 8.571 14.424 2.677
1922 8.408 14.205 2.433
1923 8.422 14.182 2.456
1924 8.507 14.224 2.506
1925 8.534 14.344 2.542
1926 8.729 14.452 2.769
1927 8.522 14.298 2.535
1928 8.632 14.362 2.668
1929 8.242 13.956 2.301
1930 8.634 14.326 2.740
1931 8.719 14.420 2.819
1932 8.705 14.432 2.763
1933 8.338 14.078 2.424
1934 8.628 14.384 2.767
1935 8.516 14.287 2.588
1936 8.554 14.315 2.639
1937 8.698 14.476 2.750
1938 8.864 14.650 3.033
1939 8.760 14.595 2.881
1940 8.765 14.579 2.890
1941 8.769 14.536 2.915
1942 8.728 14.534 2.920
1943 8.755 14.603 2.937
1944 8.845 14.727 3.060
1945 8.585 14.439 2.772
1946 8.677 14.482 2.831
1947 8.797 14.562 2.965
1948 8.747 14.616 2.915
1949 8.587 14.415 2.802
1950 8.365 14.174 2.579
1951 8.626 14.430 2.736
1952 8.638 14.463 2.820
1953 8.874 14.639 3.108
1954 8.561 14.287 2.866
1955 8.626 14.329 2.861
1956 8.280 14.024 2.562
1957 8.732 14.382 3.001
1958 8.774 14.477 3.115
1959 8.733 14.416 3.109
1960 8.584 14.317 2.933
1961 8.798 14.515 3.129
1962 8.746 14.540 3.009
1963 8.856 14.612 3.158
1964 8.410 14.157 2.769
1965 8.527 14.268 2.841
1966 8.599 14.326 2.899
1967 8.700 14.407 3.037
1968 8.516 14.164 2.857
1969 8.595 14.212 2.963
1970 8.701 14.403 3.043
1971 8.599 14.353 2.962
1972 8.500 14.165 2.845
1973 8.948 14.566 3.370
1974 8.467 14.082 2.901
1975 8.745 14.384 3.121
1976 8.347 14.008 2.734
1977 8.850 14.486 3.295
1978 8.693 14.281 3.171
1979 8.733 14.458 3.200
1980 8.980 14.673 3.405
1981 9.166 14.855 3.636
1982 8.639 14.301 3.240
1983 9.028 14.680 3.552
1984 8.692 14.343 3.187
1985 8.658 14.267 3.176
1986 8.834 14.517 3.319
1987 8.994 14.700 3.431
1988 9.202 14.890 3.654
1989 8.922 14.621 3.334
1990 9.234 14.958 3.659
1991 9.179 14.840 3.622
1992 8.837 14.471 3.264
1993 8.867 14.520 3.285
1994 9.039 14.729 3.396
1995 9.347 15.026 3.704
1996 9.039 14.737 3.381
1997 9.203 14.868 3.590
1998 9.523 15.169 3.949
1999 9.285 14.983 3.662
2000 9.201 14.899 3.582
2001 9.415 15.159 3.741
2002 9.570 15.312 3.865
2003 9.526 15.249 3.852
2004 9.325 15.018 3.664
2005 9.701 15.350 4.114
2006 9.532 15.262 3.865
2007 9.732 15.533 4.009
2008 9.432 15.192 3.725
2009 9.505 15.267 3.797
2010 9.703 15.449 4.024
2011 9.516 15.285 3.828
2012 9.507 15.333 3.756
2013 9.607 15.374 3.911
2014 9.571 15.314 3.878
2015 9.831 15.573 4.149
